B7_016,F_020,M_F,B3_007,B7_015,F_019,L1_001,M_B7
8.281688,6.228769,2.3715235,-1.302689,-2.125503,-1.485722,0.137762,3.0780925
8.492458,7.556621,3.1156005,-1.725656,-1.63042,-1.32542,0.946174,3.431019
8.492458,7.045909,3.3144335,-1.514173,-1.410383,-0.417042,1.377327,3.5410375
7.965533,6.535196,2.872058,-0.985463,-1.245356,-0.79108,0.568915,3.3600885
7.754763,6.739481,2.7604645,-1.196947,-1.850457,-1.218552,1.592903,2.952153
8.387073,6.739481,2.9742005,-1.144076,-1.575411,-0.79108,1.107856,3.405831
8.913999,7.250194,3.309708,-0.879722,-1.190346,-0.630778,0.568915,3.8618265
9.546309,8.373761,3.8447745,-0.456754,-0.970309,-0.684212,1.053962,4.288
8.703228,7.250194,3.416576,-0.562496,-0.970309,-0.417042,1.431221,3.8664595
8.070918,7.658764,3.513993,-0.139529,-1.520402,-0.630778,1.000068,3.275258
8.070918,7.352336,3.253911,-0.456754,-0.640254,-0.844514,1.431221,3.715332
8.070918,9.293044,4.384567,-0.245271,-0.420217,-0.52391,1.754586,3.8253505
8.070918,9.497329,4.753879,-0.351012,0.129876,0.010429,1.431221,4.100397
8.070918,8.782331,4.476531,-0.403883,-0.475226,0.170731,1.377327,3.797846
8.070918,9.293044,4.8120385,0.071955,-0.145171,0.331033,1.646798,3.9628735
8.070918,9.190901,4.73425,-0.1924,0.074866,0.277599,2.024056,4.072892
8.913999,8.884474,4.6879045,-0.033787,0.624959,0.491335,2.401315,4.769479
8.913999,8.884474,4.6879045,-0.033787,0.624959,0.491335,2.401315,4.769479
8.913999,8.373762,4.5661335,0.706406,1.120042,0.758505,3.101939,5.0170205
9.862465,8.578047,4.668276,0.442052,1.945181,0.758505,3.64088,5.903823
9.019384,8.884474,5.0886595,0.494923,1.835162,1.292845,3.263621,5.427273
10.073235,9.599472,5.740045,0.653535,2.055199,1.880618,4.072033,6.064217
10.17862,9.497329,5.528672,1.182244,2.660301,1.560015,3.910351,6.4194605
9.335539,10.008042,5.890896,1.340857,2.110208,1.77375,3.425304,5.7228735
9.651695,8.884474,5.2756785,1.287986,1.945181,1.666883,3.856457,5.798438
10.705545,9.905899,5.652806,1.287986,1.835162,1.399713,4.449292,6.2703535
10.916315,10.927324,6.403971,1.605212,2.71531,1.880618,4.449292,6.8158125
12.391706,10.927324,6.403971,2.08105,2.605292,1.880618,4.55708,7.498499
11.759396,11.131609,6.7732835,1.393728,3.045365,2.414958,5.096022,7.4023805
12.813246,11.744464,7.133145,1.869566,3.595458,2.521826,4.880445,8.204352
10.394022,12.561604,7.9691865,1.763824,4.640634,3.376769,5.742751,7.517328
10.499407,12.970174,8.3604905,1.763824,4.035532,3.750807,5.527175,7.2674695
11.026332,12.868032,8.1491175,2.345405,4.14555,3.430203,6.066116,7.585941
