Date,B1_004,B2_006,B3_008,F_020,L1_002,M_B1,M_B2,M_F,M_L1,B1_003,B2_005,F_019,L1_001
2016/11/11,10.755287,10.95819,11.164189,11.002896,11.301802,7.2697285,7.4896975,7.525023,7.5422235,3.78417,4.021205,4.04715,3.782645
2016/11/12,10.17392,10.381444,10.560719,10.423796,10.70697,6.7288755,6.956392,6.9889605,7.001657,3.283831,3.53134,3.554125,3.296344
2016/11/13,9.883237,10.09307,10.258984,10.134247,10.409554,6.4584495,6.689739,6.7209295,6.731374,3.033662,3.286408,3.307612,3.053194
2016/11/14,9.30187,9.516323,9.655515,9.555147,9.814722,6.4179355,6.6462975,6.677892,6.6771085,3.534001,3.776272,3.800637,3.539495
2016/11/15,9.883237,10.09307,10.258984,10.134247,10.409554,6.4584495,6.689739,6.7209295,6.731374,3.033662,3.286408,3.307612,3.053194
2016/11/16,9.30187,9.516323,9.655515,9.555147,9.814722,6.167766,6.4013655,6.4313795,6.433958,3.033662,3.286408,3.307612,3.053194
2016/11/17,9.30187,9.516323,9.655515,9.555147,9.814722,6.167766,6.4013655,6.4313795,6.433958,3.033662,3.286408,3.307612,3.053194
2016/11/18,9.30187,9.516323,9.655515,9.555147,9.814722,6.2928505,6.523832,6.554636,6.555533,3.283831,3.531341,3.554125,3.296344
2016/11/19,9.592554,9.804697,9.95725,9.844697,10.112138,6.4381925,6.668019,6.699411,6.704241,3.283831,3.531341,3.554125,3.296344
2016/11/20,8.720504,8.939576,9.052045,8.976047,9.219891,5.6269135,5.86806,5.895317,5.8933925,2.533323,2.796544,2.814587,2.566894
2016/11/21,9.883237,10.09307,10.258985,10.134247,10.409554,6.4584495,6.689739,6.7209295,6.731374,3.033662,3.286408,3.307612,3.053194
2016/11/22,10.755288,10.95819,11.164189,11.002896,11.301802,7.1446445,7.3672315,7.4017665,7.420648,3.534001,3.776273,3.800637,3.539494
2016/11/23,10.755288,10.95819,11.164189,11.002896,11.301802,7.770068,7.979562,8.018048,8.0285235,4.784848,5.000934,5.0332,4.755245
2016/11/24,12.499389,12.688431,12.974598,12.740195,13.086297,9.142457,9.334547,9.379723,9.4070715,5.785525,5.980663,6.019251,5.727846
2016/11/25,13.662123,13.841924,14.181537,13.898395,14.275961,10.4743325,10.6460905,10.6983605,10.731354,7.286542,7.450257,7.498326,7.186747
2016/11/26,13.952806,14.130298,14.483272,14.187945,14.573377,10.994928,11.1576755,11.2129045,11.2447875,8.03705,8.185053,8.237864,7.916198
2016/11/27,13.662123,13.841924,14.181537,13.898395,14.275961,10.8495865,11.0134885,11.0681295,11.0960795,8.03705,8.185053,8.237864,7.916198
2016/11/28,13.952806,14.130298,14.483272,14.187945,14.573377,11.2450975,11.402608,11.459417,11.4879375,8.537389,8.674918,8.730889,8.402498
2016/11/29,14.24349,14.418671,14.785007,14.477494,14.870793,11.3904395,11.5467945,11.6041915,11.6366455,8.537389,8.674918,8.730889,8.402498
2016/11/30,13.662123,13.841924,14.181537,13.898395,14.275961,11.099756,11.258421,11.314642,11.3392295,8.537389,8.674918,8.730889,8.402498
